jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0373,0.1136,0.115,0.258,0.2476,0.2387,0.2776,0.3046,0.0493,0.1686,0.0273,0.026,0.0644,0.0541,0.0836,0.0133,0.0,0.0227,0.0212,0.047,0.0888,0.0,0.0381,0.0,0.0,0.023,0.0188,0
0.046,0.115,0.1158,0.2635,0.2526,0.2411,0.3096,0.3386,0.0608,0.1721,0.027,0.0256,0.0649,0.0536,0.0812,0.0137,0.0,0.0221,0.0205,0.0481,0.0957,0.0,0.0378,0.0,0.0,0.0226,0.0185,0
0.0563,0.1196,0.1202,0.2697,0.2573,0.2422,0.3188,0.3483,0.0731,0.1761,0.0265,0.0251,0.0663,0.0527,0.0774,0.0143,0.0,0.0215,0.02,0.0496,0.1117,0.0,0.0376,0.0,0.0,0.0223,0.0181,0
0.0614,0.1215,0.1218,0.2754,0.2611,0.2432,0.3249,0.3555,0.0789,0.1779,0.026,0.0245,0.0673,0.0519,0.0742,0.015,0.0,0.021,0.0195,0.0519,0.1178,0.0,0.0377,0.0,0.0,0.0219,0.0177,0
0.0678,0.1231,0.123,0.2794,0.2636,0.242,0.3334,0.3643,0.0839,0.179,0.0255,0.024,0.0692,0.0508,0.0715,0.0169,0.0,0.0206,0.019,0.0551,0.1227,0.0,0.0379,0.0,0.0,0.0214,0.0173,0
0.0719,0.1238,0.1236,0.2815,0.2656,0.2397,0.3546,0.3814,0.0884,0.1799,0.025,0.0234,0.0705,0.05,0.0693,0.0187,0.0,0.0202,0.0187,0.0606,0.1299,0.0,0.0381,0.0,0.0,0.021,0.0169,0
0.0783,0.1245,0.1241,0.2864,0.2694,0.2385,0.3667,0.3992,0.0974,0.1805,0.0244,0.0228,0.072,0.0492,0.0662,0.0209,0.0,0.0199,0.0184,0.0661,0.1382,0.0,0.0386,0.0,0.0,0.0206,0.0165,0
0.0893,0.1252,0.1247,0.2929,0.2768,0.2286,0.3907,0.4236,0.1083,0.181,0.0237,0.0222,0.0766,0.0482,0.0636,0.023,0.0,0.0197,0.0181,0.0749,0.155,0.0,0.039,0.0,0.0,0.0201,0.0161,0
0.0955,0.1255,0.1248,0.2982,0.2805,0.2255,0.4009,0.4345,0.1185,0.1818,0.023,0.0215,0.0801,0.0474,0.0599,0.027,0.0,0.0195,0.018,0.0842,0.1677,0.0,0.0395,0.0,0.0,0.0197,0.0158,0
0.107,0.126,0.1251,0.3033,0.285,0.2194,0.415,0.4467,0.1321,0.1824,0.0224,0.0208,0.0853,0.0464,0.0575,0.0308,0.0,0.0194,0.0179,0.094,0.1918,0.0,0.0399,0.0,0.0,0.0193,0.0155,0
