jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0083,0.056,0.0623,0.1367,0.1281,0.163,0.0,0.0,0.013,0.1218,0.0773,0.0807,0.0322,0.1706,0.0871,0.0232,0.0,0.1247,0.1436,0.0723,0.1023,0.0,0.0239,0.2297,0.2447,0.1134,0.108,0
0.0083,0.0566,0.0631,0.1366,0.128,0.1627,0.0,0.0,0.0132,0.122,0.0764,0.0797,0.0322,0.168,0.0849,0.0235,0.0,0.1256,0.1491,0.072,0.1044,0.0,0.027,0.2463,0.2692,0.1125,0.1072,0
0.0084,0.0572,0.0638,0.1361,0.1276,0.1607,0.0,0.0,0.0134,0.1221,0.0757,0.079,0.0322,0.1667,0.0825,0.0236,0.0,0.1319,0.1553,0.0717,0.1059,0.0,0.0277,0.2717,0.2819,0.1122,0.1069,0
0.0083,0.0575,0.0641,0.1346,0.127,0.1545,0.0,0.0,0.0134,0.1219,0.0754,0.0787,0.0322,0.1668,0.0799,0.0236,0.0,0.1479,0.1734,0.0718,0.1067,0.0,0.0277,0.281,0.2917,0.1124,0.1071,0
0.0083,0.0576,0.0642,0.1315,0.1256,0.1495,0.0,0.0,0.0134,0.1217,0.0752,0.0785,0.0322,0.1671,0.0774,0.0237,0.0,0.1562,0.1799,0.072,0.1076,0.0,0.0252,0.2885,0.2963,0.1159,0.1098,0
0.0081,0.0573,0.064,0.1253,0.1218,0.1452,0.0,0.0,0.0132,0.1213,0.0754,0.0787,0.032,0.1876,0.0763,0.0233,0.0,0.1687,0.1919,0.0724,0.1075,0.0,0.0238,0.2989,0.3071,0.1226,0.1166,0
0.0079,0.0569,0.0635,0.1193,0.1171,0.1413,0.0,0.0,0.013,0.1206,0.0766,0.0807,0.0317,0.2075,0.0759,0.0224,0.0,0.1796,0.203,0.0728,0.1032,0.0,0.0225,0.3147,0.3241,0.1331,0.1273,0
0.0076,0.0555,0.0613,0.113,0.1116,0.136,0.0,0.0,0.0126,0.1193,0.081,0.0877,0.0313,0.2399,0.0766,0.0183,0.0,0.1944,0.2213,0.0733,0.095,0.0,0.0216,0.3202,0.332,0.1457,0.1405,0
0.0073,0.053,0.0581,0.1077,0.1072,0.1313,0.0,0.0,0.0122,0.1168,0.0897,0.0995,0.0308,0.2745,0.0822,0.0137,0.0001,0.207,0.2344,0.0742,0.0845,0.0,0.0204,0.3236,0.3387,0.157,0.1537,0
0.007,0.049,0.0532,0.1027,0.1036,0.1293,0.0,0.0,0.0118,0.114,0.1074,0.1221,0.0302,0.3511,0.0946,0.011,0.0024,0.2307,0.2621,0.0797,0.0659,0.0,0.0198,0.3282,0.3493,0.1647,0.1649,0
0.0067,0.0467,0.0504,0.1,0.1016,0.1281,0.0,0.0,0.0114,0.1127,0.1142,0.1304,0.0296,0.3742,0.102,0.0095,0.0038,0.2397,0.2726,0.0848,0.0597,0.0,0.0193,0.3306,0.3548,0.1746,0.1764,0
0.0064,0.0446,0.0481,0.0982,0.0999,0.1278,0.0,0.0,0.011,0.1118,0.1191,0.136,0.029,0.391,0.1076,0.0083,0.0046,0.2443,0.2779,0.0907,0.0551,0.0,0.0192,0.332,0.3575,0.1806,0.184,0
0.0061,0.0432,0.0464,0.0967,0.0987,0.1278,0.0,0.0,0.0106,0.1112,0.1216,0.1389,0.0284,0.4,0.1102,0.0075,0.0052,0.2469,0.281,0.0966,0.0527,0.0,0.0191,0.3328,0.3592,0.1873,0.1918,0
0.0058,0.042,0.0451,0.0957,0.0977,0.1288,0.0,0.0,0.0102,0.1108,0.1241,0.1415,0.0278,0.4144,0.1135,0.0068,0.0056,0.2483,0.2826,0.1,0.051,0.0,0.0191,0.3328,0.3597,0.1914,0.1961,0
0.0056,0.0411,0.0441,0.0949,0.0969,0.1294,0.0,0.0,0.0099,0.1105,0.126,0.1441,0.0272,0.4197,0.1173,0.0062,0.0057,0.249,0.2836,0.1019,0.0498,0.0,0.0191,0.3327,0.36,0.1941,0.1991,0
0.0054,0.0404,0.0434,0.0944,0.0963,0.1301,0.0,0.0,0.0096,0.1101,0.13,0.1474,0.0266,0.4234,0.1224,0.0057,0.0054,0.2493,0.2839,0.103,0.0484,0.0,0.0193,0.3327,0.3602,0.1956,0.2007,0
0.0052,0.0398,0.0428,0.0938,0.0955,0.1328,0.0,0.0,0.0093,0.1099,0.1317,0.1488,0.0261,0.427,0.1268,0.0053,0.0051,0.2492,0.2832,0.1037,0.0474,0.0,0.0193,0.3326,0.3599,0.1984,0.2029,0
0.005,0.0392,0.0422,0.0932,0.0949,0.1338,0.0,0.0,0.009,0.1097,0.1351,0.1505,0.0256,0.4295,0.1293,0.0049,0.0048,0.2496,0.283,0.1043,0.0466,0.0,0.0194,0.3348,0.3601,0.2016,0.2049,0
0.0048,0.0388,0.0418,0.0928,0.0944,0.1348,0.0,0.0,0.0088,0.1094,0.1375,0.1518,0.0251,0.4309,0.1337,0.0047,0.0044,0.2493,0.2799,0.1046,0.0458,0.0,0.0194,0.3411,0.3615,0.203,0.2058,0
0.0047,0.0384,0.0414,0.0923,0.0938,0.1367,0.0,0.0,0.0085,0.1093,0.1412,0.156,0.0247,0.4438,0.1358,0.0044,0.0042,0.2494,0.279,0.1049,0.0451,0.0,0.0194,0.3433,0.3623,0.2046,0.2078,0
0.0045,0.0381,0.0411,0.0918,0.0933,0.1439,0.0,0.0,0.0083,0.1093,0.1433,0.1584,0.0243,0.45,0.1399,0.0041,0.0041,0.2489,0.2771,0.1051,0.0444,0.0,0.0194,0.3447,0.3631,0.2079,0.2111,0
0.0044,0.0377,0.0407,0.0913,0.0927,0.1465,0.0,0.0,0.0081,0.1094,0.1447,0.1615,0.024,0.4557,0.1416,0.0037,0.0039,0.2487,0.2766,0.1054,0.0437,0.0,0.0195,0.3451,0.3637,0.2094,0.2128,0
