jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0724,0.1385,0.149,0.27,0.2736,0.3967,0.3534,0.3575,0.0744,0.2373,0.0177,0.0174,0.0668,0.0481,0.0622,0.0,0.0415,0.0077,0.0079,0.0383,0.0915,0.001,0.0043,0.0,0.0,0.0101,0.0094,0
0.073,0.1386,0.1491,0.2722,0.2762,0.3985,0.3528,0.3565,0.0749,0.2374,0.0178,0.0175,0.0668,0.0483,0.062,0.0,0.0418,0.0078,0.008,0.0386,0.0948,0.0012,0.004,0.0,0.0,0.0101,0.0094,0
0.074,0.1388,0.1493,0.2747,0.2781,0.3997,0.353,0.3564,0.0756,0.2375,0.0181,0.0178,0.0668,0.0489,0.0623,0.0,0.0421,0.0079,0.0081,0.0395,0.0971,0.0014,0.0034,0.0,0.0,0.0102,0.0094,0
0.0746,0.139,0.1495,0.2758,0.2788,0.3994,0.3542,0.3568,0.076,0.2372,0.0183,0.018,0.0669,0.0493,0.0626,0.0,0.0421,0.008,0.0081,0.0399,0.0975,0.0015,0.0031,0.0,0.0,0.0102,0.0094,0
0.0746,0.1388,0.1492,0.2768,0.2796,0.3968,0.3547,0.3571,0.0761,0.237,0.0184,0.0181,0.067,0.0495,0.0627,0.0,0.0423,0.008,0.0082,0.0403,0.0979,0.0016,0.0029,0.0,0.0,0.0102,0.0094,0
0.0748,0.1387,0.1489,0.2776,0.2807,0.3956,0.3549,0.3573,0.0764,0.2369,0.0185,0.0181,0.0671,0.0496,0.0625,0.0,0.0425,0.0081,0.0083,0.0408,0.0984,0.0018,0.0026,0.0,0.0,0.0102,0.0094,0
0.0753,0.14,0.15,0.2783,0.2814,0.3942,0.3499,0.3552,0.0768,0.2365,0.0185,0.0181,0.0673,0.0495,0.0622,0.0,0.0427,0.0082,0.0083,0.0409,0.0988,0.0019,0.0024,0.0,0.0,0.0102,0.0093,0
0.0773,0.1405,0.1503,0.2787,0.282,0.3934,0.3489,0.3546,0.0779,0.236,0.0186,0.0182,0.0674,0.0496,0.0619,0.0,0.0428,0.0082,0.0083,0.0411,0.099,0.0022,0.0022,0.0,0.0,0.0101,0.0093,0
0.0785,0.141,0.1505,0.2789,0.2824,0.3923,0.3485,0.3545,0.0788,0.2354,0.0187,0.0183,0.0675,0.0497,0.0618,0.0,0.0429,0.0083,0.0084,0.0414,0.0992,0.0023,0.002,0.0,0.0,0.0101,0.0093,0
0.0793,0.1413,0.1507,0.2788,0.2823,0.3918,0.3485,0.354,0.0794,0.2343,0.0188,0.0184,0.0676,0.0501,0.0621,0.0,0.0427,0.0084,0.0084,0.0417,0.0988,0.0026,0.0019,0.0,0.0,0.0101,0.0092,0
