mouthRollUpper,0.02459949
mouthDimple_R,0.01667795
mouthLowerDown_L,0.04376171
mouthClose,0.01260033
mouthUpperUp_L,0.03657801
mouthSmile_L,0
mouthRollLower,0.02712991
mouthPress_R,0.01810514
mouthStretch_R,0.09613554
mouthShrugLower,0.1398435
mouthPress_L,0.01786532
jawRight,0.02360237
jawForward,0.01583703
jawLeft,0
mouthFrown_L,0.3118438
mouthUpperUp_R,0.03986572
mouthFrown_R,0.237377
mouthLeft,0.0003583795
mouthStretch_L,0.102746
mouthFunnel,0.1206851
mouthLowerDown_R,0.03679525
mouthRight,0.01151368
jawOpen,0.0216725
mouthShrugUpper,0.1328679
mouthDimple_L,0.01415587
mouthPucker,0.3138668
mouthSmile_R,0
mouthRollUpper,0.02441447
mouthDimple_R,0.01651973
mouthLowerDown_L,0.04384501
mouthClose,0.01260439
mouthUpperUp_L,0.03665398
mouthSmile_L,0
mouthRollLower,0.02693916
mouthPress_R,0.0180124
mouthStretch_R,0.09838232
mouthShrugLower,0.1398415
mouthPress_L,0.01779808
jawRight,0.02353014
jawForward,0.01579482
jawLeft,0
mouthFrown_L,0.3125917
mouthUpperUp_R,0.0400541
mouthFrown_R,0.2371951
mouthLeft,0.0003298195
mouthStretch_L,0.1057881
mouthFunnel,0.12078
mouthLowerDown_R,0.03686929
mouthRight,0.01169508
jawOpen,0.02159608
mouthShrugUpper,0.1342754
mouthDimple_L,0.01401083
mouthPucker,0.3155224
mouthSmile_R,0
mouthRollUpper,0.02424911
mouthDimple_R,0.01623584
mouthLowerDown_L,0.04422755
mouthClose,0.01274209
mouthUpperUp_L,0.03672218
mouthSmile_L,0
mouthRollLower,0.02666967
mouthPress_R,0.01786079
mouthStretch_R,0.1008155
mouthShrugLower,0.1373584
mouthPress_L,0.01765702
jawRight,0.02341124
jawForward,0.01579445
jawLeft,0
mouthFrown_L,0.3132175
mouthUpperUp_R,0.04016532
mouthFrown_R,0.2379337
mouthLeft,0.0003035356
mouthStretch_L,0.1115941
mouthFunnel,0.1208087
mouthLowerDown_R,0.03717547
mouthRight,0.01163864
jawOpen,0.02170406
mouthShrugUpper,0.1422059
mouthDimple_L,0.0138011
mouthPucker,0.3270499
mouthSmile_R,0
mouthRollUpper,0.02410436
mouthDimple_R,0.01595643
mouthLowerDown_L,0.04447727
mouthClose,0.01285663
mouthUpperUp_L,0.03670884
mouthSmile_L,0
mouthRollLower,0.02644224
mouthPress_R,0.01772896
mouthStretch_R,0.1019607
mouthShrugLower,0.1365586
mouthPress_L,0.01751713
jawRight,0.0233183
jawForward,0.01573659
jawLeft,0
mouthFrown_L,0.31389
mouthUpperUp_R,0.04014802
mouthFrown_R,0.2433862
mouthLeft,0.0002793462
mouthStretch_L,0.1136657
mouthFunnel,0.1207132
mouthLowerDown_R,0.03734829
mouthRight,0.01153647
jawOpen,0.02175225
mouthShrugUpper,0.1456003
mouthDimple_L,0.01360035
mouthPucker,0.343261
mouthSmile_R,0
mouthRollUpper,0.02396264
mouthDimple_R,0.01560684
mouthLowerDown_L,0.04478179
mouthClose,0.01299482
mouthUpperUp_L,0.03660227
mouthSmile_L,0
mouthRollLower,0.02620774
mouthPress_R,0.01752561
mouthStretch_R,0.1027401
mouthShrugLower,0.1351119
mouthPress_L,0.01730897
jawRight,0.0231738
jawForward,0.01571155
jawLeft,0
mouthFrown_L,0.3154121
mouthUpperUp_R,0.0400089
mouthFrown_R,0.2514607
mouthLeft,0.0002570846
mouthStretch_L,0.1150149
mouthFunnel,0.120551
mouthLowerDown_R,0.0375612
mouthRight,0.01121221
jawOpen,0.02182199
mouthShrugUpper,0.1471861
mouthDimple_L,0.01335262
mouthPucker,0.3486373
mouthSmile_R,0
mouthRollUpper,0.02393778
mouthDimple_R,0.01535539
mouthLowerDown_L,0.0451261
mouthClose,0.01317401
mouthUpperUp_L,0.03644313
mouthSmile_L,0
mouthRollLower,0.02599898
mouthPress_R,0.01733194
mouthStretch_R,0.1034454
mouthShrugLower,0.1342577
mouthPress_L,0.01710512
jawRight,0.02313381
jawForward,0.01564945
jawLeft,0
mouthFrown_L,0.3172877
