jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0154197,0.0481465,0.04103265,0.0972351,0.1069818,0.07656786,-0.0002734514,-2.148597e-05,0.01217477,0.1040179,0.02724101,0.01785696,0.02877287,0.09058204,0.02503169,7.191813e-06,0.01109521,0.1521707,0.07473926,0.05614183,0.05279231,0.1123155,0.0,0.2332203,0.09996937,0.02226052,0.01630371,0,
0.01486331,0.04778958,0.0407697,0.09643703,0.1055501,0.07645589,-0.0002516596,-1.977371e-05,0.01155977,0.1039589,0.02762206,0.01822309,0.02815318,0.09656002,0.02507322,6.618683e-06,0.01063802,0.1557824,0.07981499,0.05631193,0.05131153,0.1113581,0.0,0.2381904,0.1142046,0.02427579,0.01695216,0,
0.01434712,0.04758019,0.04063147,0.09551489,0.1041134,0.07630617,-0.0002316044,-1.81979e-05,0.01099085,0.104078,0.02811593,0.01863751,0.02755998,0.1023966,0.02526611,6.091227e-06,0.01019723,0.162525,0.08321998,0.05625625,0.05003918,0.1106739,0.0,0.2457953,0.1203622,0.02706119,0.01806347,0,
0.01389815,0.04755489,0.04064225,0.0948488,0.1031599,0.07615849,-0.0002131474,-1.674768e-05,0.01048564,0.1039085,0.02859686,0.01906675,0.02704041,0.1045328,0.02544035,5.605805e-06,0.009726323,0.1659566,0.08684073,0.05619207,0.04912213,0.1094445,0.0,0.2547806,0.1317054,0.02842236,0.0188198,0,
0.01347788,0.04757188,0.04066914,0.09426467,0.10234,0.07611099,-0.0001961612,-1.541302e-05,0.01002591,0.1037614,0.02915284,0.0195619,0.02654349,0.1074932,0.0257875,5.159067e-06,0.009289041,0.1688622,0.0903675,0.05610675,0.04817449,0.1078914,0.0,0.2579554,0.1355405,0.03007726,0.01959249,0,
0.0131329,0.0477167,0.04079315,0.09376603,0.1016175,0.07593799,-0.0001805288,-1.418473e-05,0.009608777,0.1036125,0.02966379,0.02001933,0.0261586,0.1085374,0.0259972,4.747931e-06,0.008822694,0.170764,0.09229901,0.05601748,0.04754179,0.1053547,0.0,0.2649762,0.1425969,0.03108429,0.02025798,0,
0.01285343,0.04796451,0.0410508,0.09352989,0.1012122,0.07582632,-0.0001661421,-1.305432e-05,0.009246617,0.1034527,0.02999073,0.02037927,0.02575429,0.1088254,0.02613811,4.369559e-06,0.008273317,0.1714457,0.09344658,0.05583291,0.04699067,0.1027261,0.0,0.2667781,0.1452512,0.03167284,0.02074466,0,
0.01265692,0.04831937,0.04142368,0.09329933,0.1008763,0.07564136,-0.0001529019,-1.201399e-05,0.008932706,0.103136,0.03021641,0.02068014,0.02539855,0.1079175,0.02622396,4.02134e-06,0.007768235,0.1687723,0.09382804,0.05559094,0.04655165,0.09995291,0.0,0.2674063,0.1469524,0.03196884,0.02107472,0,
0.01248214,0.04862786,0.04174244,0.09308898,0.1006124,0.07527568,-0.0001407168,-1.105657e-05,0.008648732,0.1028118,0.03045518,0.02095296,0.02513668,0.106862,0.02625251,3.700872e-06,0.00732706,0.1682069,0.09410506,0.05546078,0.04626115,0.09858598,0.0,0.2676843,0.1475868,0.03222327,0.02141063,0,
0.01233892,0.04895165,0.04212066,0.09288324,0.1002164,0.07498149,-0.0001295028,-1.017545e-05,0.008390667,0.1025671,0.03060128,0.02117538,0.02486926,0.1037721,0.02628827,9.777202e-05,0.006808032,0.1675877,0.09439652,0.05510714,0.04603908,0.09520667,0.0,0.2677632,0.1496929,0.03240051,0.02170827,0,
