jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.0431792,0.06731915,0.06393491,0.1655887,0.1889909,0.1306203,0.2260831,0.2152437,0.03131001,0.110952,0.02057726,0.01787981,0.04960039,0.05997251,0.0384285,0.0006838847,0.001106704,0.03298655,0.02630652,0.0801473,0.1044222,0.02410481,0.0,0.0,0.0,0.01122786,0.009591135,0,
0.04311332,0.06729542,0.06392052,0.1655678,0.1888425,0.1303522,0.2260499,0.2149433,0.03130139,0.1109492,0.02054775,0.01784929,0.04971484,0.05991347,0.03828801,0.0006295566,0.001130435,0.03309109,0.02642011,0.08032843,0.1045119,0.02419368,0.0,0.0,0.0,0.01122428,0.009600513,0,
0.0435615,0.06778415,0.06439045,0.1662267,0.1911157,0.1296647,0.2261662,0.2147141,0.03147286,0.1111697,0.02051548,0.01780802,0.04987989,0.05957252,0.03820885,0.0005794781,0.001110003,0.03302999,0.02635208,0.08015883,0.1046244,0.02449454,0.0,0.0,0.0,0.01117013,0.00956405,0,
0.04372585,0.06793077,0.06452161,0.1662975,0.1915181,0.1294045,0.2261701,0.2146171,0.03156983,0.1111887,0.02044769,0.01774485,0.04995318,0.05934979,0.03806246,0.0005333477,0.001111748,0.03303136,0.02635819,0.08007073,0.1047515,0.02464603,0.0,0.0,0.0,0.01114725,0.00955157,0,
0.04389016,0.0681341,0.06470743,0.1665811,0.1918646,0.129035,0.2258872,0.2141597,0.03162247,0.1113547,0.02036384,0.0176723,0.05006122,0.05898594,0.03785102,0.0004949475,0.001055798,0.03293967,0.02628228,0.07983285,0.1047058,0.02471494,0.0,0.0,0.0,0.01110536,0.009519012,0,
0.04414437,0.06843264,0.06494748,0.1668436,0.1924925,0.1285648,0.2262227,0.2142819,0.03168475,0.1114988,0.02027345,0.01757448,0.05007636,0.05856026,0.03766085,0.0004566434,0.001137782,0.03279663,0.02609838,0.07946485,0.1046635,0.02691713,0.0,0.0,0.0,0.01101955,0.009435778,0,
0.04386965,0.06818444,0.06464574,0.166568,0.19224,0.1273966,0.2290013,0.2149961,0.03153128,0.111418,0.02020883,0.01750518,0.0500412,0.05850603,0.03748045,0.0004208624,0.001274985,0.03286786,0.02610425,0.07942453,0.1044912,0.02779159,0.0,0.0,0.0,0.01101108,0.009412176,0,
0.0441551,0.06846022,0.06487194,0.1669552,0.1927695,0.1266554,0.2300961,0.2154177,0.03161854,0.1113921,0.02009928,0.01739085,0.05011715,0.05795693,0.03720748,0.0003876495,0.001365899,0.03272191,0.02593622,0.07899366,0.1048167,0.02851728,0.0,0.0,0.0,0.01090407,0.009303707,0,
0.04410154,0.0684175,0.06474806,0.1670039,0.1929713,0.1262391,0.2349467,0.217359,0.03158881,0.1115395,0.02001482,0.01729466,0.05007606,0.05773667,0.03702141,0.0003569316,0.001581136,0.03267412,0.02581456,0.07874581,0.1047709,0.02989147,0.0,0.0,0.0,0.01085025,0.009236257,0,
0.04398009,0.06826435,0.06452063,0.1669939,0.193014,0.1260638,0.2400078,0.2210271,0.03151967,0.1115664,0.01988423,0.01716001,0.04992475,0.05746429,0.03676872,0.0003285806,0.001771025,0.03257896,0.02565469,0.07841884,0.1047466,0.03085844,0.0,0.0,0.0,0.01078265,0.009154456,0,
