jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.01866797,0.06938369,0.06771502,0.1344497,0.1464974,0.1511856,0.1092282,0.170033,0.009177617,0.1138098,0.02825363,0.03417945,0.03395192,0.104251,0.0748427,0.01007771,7.469226e-34,0.01975802,0.02525389,0.05450651,0.0242298,4.266312e-14,0.01354049,5.94173e-05,3.762097e-05,0.01414152,0.01349743,0,
0.01847665,0.06921291,0.06740905,0.1343852,0.1464083,0.1508905,0.1112764,0.1746425,0.009057419,0.1137535,0.02840999,0.0343121,0.03406313,0.1041812,0.07493309,0.009912224,6.873988e-34,0.01983846,0.02525066,0.05449104,0.02397898,3.926321e-14,0.01317856,5.468221e-05,3.462288e-05,0.01418832,0.01354823,0,
0.01828941,0.06906293,0.06712025,0.1344414,0.1463463,0.1511286,0.1122577,0.1764276,0.008937608,0.1138426,0.02862187,0.03453445,0.03417691,0.1043044,0.07519863,0.009775153,6.326186e-34,0.0198928,0.02523197,0.05451366,0.02369519,3.613425e-14,0.01294669,5.032448e-05,3.186372e-05,0.01424542,0.013601,0,
0.01810683,0.06890429,0.06681949,0.1345223,0.1463978,0.1508809,0.1130283,0.1774966,0.008809461,0.1140033,0.02886545,0.03477937,0.0342381,0.1044193,0.07541408,0.009621034,5.82204e-34,0.020014,0.02526311,0.05448784,0.02341641,3.325464e-14,0.01261088,4.631402e-05,2.932444e-05,0.01432039,0.01367602,0,
0.01790159,0.06858438,0.06639558,0.1346613,0.1465199,0.1508919,0.1129898,0.1775326,0.008668605,0.1142843,0.02912545,0.03504536,0.03422162,0.1045443,0.07563636,0.009444123,5.35807e-34,0.02007471,0.02522951,0.05433676,0.02308511,3.060451e-14,0.01232524,4.262317e-05,2.698751e-05,0.01436853,0.01373283,0,
0.01772986,0.06842202,0.06614482,0.1348522,0.1466402,0.1508442,0.108525,0.1748111,0.008541747,0.1145539,0.02937804,0.03532083,0.0341111,0.1046704,0.07572195,0.009310551,4.931075e-34,0.02014292,0.02522895,0.05415615,0.02277495,2.816557e-14,0.01216047,3.922644e-05,2.483682e-05,0.01442515,0.01379467,0,
0.01754988,0.06828134,0.06592292,0.1349827,0.1466937,0.1503421,0.1022881,0.1667094,0.008414929,0.114802,0.02960455,0.03554972,0.03397586,0.1046811,0.0756366,0.009094783,4.538108e-34,0.02027121,0.02529227,0.05383519,0.02249332,2.5921e-14,0.01195892,3.610041e-05,2.285753e-05,0.01448653,0.01386033,0,
0.01744769,0.06856052,0.06613817,0.1353356,0.1470089,0.1463259,0.0932688,0.1574965,0.008304148,0.1152446,0.02983011,0.03576912,0.03388238,0.1044525,0.07537808,0.009032033,4.176457e-34,0.02042227,0.02538055,0.05339015,0.02226975,2.385531e-14,0.01181166,3.32235e-05,2.103596e-05,0.01451546,0.01390113,0,
0.01734336,0.06888832,0.06644937,0.1355504,0.1473454,0.1377863,0.07716693,0.1384611,0.008190654,0.1154363,0.03001908,0.03592484,0.03372372,0.1034808,0.0748831,0.008961352,3.843626e-34,0.02060319,0.02547597,0.05290829,0.02204847,2.195423e-14,0.01158646,3.057585e-05,1.935956e-05,0.01449085,0.01391377,0,
0.01723856,0.06943318,0.06700809,0.1357019,0.1476675,0.1286042,0.06501192,0.1274948,0.008068988,0.1155712,0.03020378,0.03607854,0.03366411,0.1022831,0.07425639,0.009018255,3.53732e-34,0.02084744,0.02566646,0.05245163,0.02187888,2.020465e-14,0.01140386,2.81392e-05,1.781676e-05,0.01447782,0.01394131,0,
0.01713682,0.06995595,0.06753307,0.1357688,0.1478181,0.1225457,0.05999759,0.122731,0.007942985,0.1156207,0.03043445,0.03630318,0.03364371,0.1015801,0.07370594,0.00914,3.255424e-34,0.02115396,0.02596873,0.05203982,0.02174295,1.859451e-14,0.0113518,2.589673e-05,1.639691e-05,0.01452004,0.01402421,0,
0.01703674,0.07045838,0.0680254,0.1357477,0.1478604,0.1179985,0.05293209,0.117602,0.007813999,0.1157458,0.03074953,0.03664113,0.03363311,0.1011247,0.07307368,0.009237004,2.995993e-34,0.02157751,0.02640398,0.05168783,0.02162878,1.711267e-14,0.01135316,2.383297e-05,1.509021e-05,0.01460799,0.01415745,0,
0.01688752,0.07083889,0.06842674,0.1358392,0.1478961,0.1157877,0.04859004,0.1135204,0.007670098,0.1157254,0.03105803,0.03697568,0.03349648,0.1008567,0.07256211,0.009385439,2.757236e-34,0.02197587,0.02683555,0.05120608,0.02146582,1.574893e-14,0.01134341,2.193368e-05,1.388764e-05,0.01469387,0.01427911,0,
