jawOpen,mouthLowerDown_R,mouthLowerDown_L,mouthStretch_R,mouthStretch_L,mouthPucker,mouthFrown_R,mouthFrown_L,mouthClose,mouthFunnel,mouthUpperUp_L,mouthUpperUp_R,jawForward,mouthShrugLower,mouthShrugUpper,jawRight,jawLeft,mouthDimple_L,mouthDimple_R,mouthRollLower,mouthRollUpper,mouthLeft,mouthRight,mouthSmile_L,mouthSmile_R,mouthPress_L,mouthPress_R,movement
0.004674129,0.02569251,0.03374989,0.07225456,0.07335164,0.05842227,-0.0002637113,0.04116338,0.001886045,0.04766939,0.07757504,0.08295184,0.01032347,0.2201935,0.1310107,0.04549642,0.0,0.07817512,0.09390014,0.03403259,0.01892865,5.425887e-06,0.0102571,0.0003286553,0.03222675,0.03023161,0.0287789,0,
0.004616475,0.02559703,0.03359508,0.0719212,0.07302174,0.05834853,-0.0002426956,0.04189137,0.001867484,0.04760328,0.07730298,0.08263095,0.01029148,0.2207091,0.1306106,0.04548221,0.0,0.0782013,0.09396323,0.03408476,0.0188464,4.993487e-06,0.01017728,0.0003024641,0.03203959,0.03027063,0.02882343,0,
0.00456869,0.02551733,0.03346338,0.07164285,0.07273585,0.05816548,-0.0002233547,0.04208386,0.001850062,0.04755367,0.07709768,0.08242582,0.01026202,0.2209136,0.1302243,0.04550871,0.0,0.07827085,0.09412383,0.0341147,0.01876661,4.595545e-06,0.01018633,0.0002783602,0.03299761,0.03029323,0.02885422,0,
0.00452328,0.02543762,0.03333127,0.07143314,0.0724885,0.05796133,-0.0002055551,0.04202165,0.001833107,0.04751648,0.07701655,0.08231835,0.01024699,0.2213178,0.13005,0.04554826,0.0,0.07842054,0.09433033,0.03418225,0.01869154,4.229317e-06,0.0101712,0.0002561771,0.0335777,0.03032573,0.02889303,0,
0.004475215,0.02532802,0.03315143,0.07113869,0.07220306,0.05797156,-0.000189174,0.0421969,0.001817016,0.04761108,0.0769299,0.0821745,0.01022353,0.2237816,0.1297146,0.04552602,0.0,0.07850949,0.09435999,0.03431457,0.01860881,3.892275e-06,0.01002764,0.0002357618,0.03357101,0.03038324,0.02897141,0,
0.004428157,0.02521077,0.03296928,0.07084605,0.07192281,0.05784895,-0.0001740984,0.04225929,0.001801324,0.04769224,0.07699965,0.082174,0.01021281,0.2271803,0.1296501,0.04553049,0.0,0.07881744,0.09460051,0.03448642,0.01852567,3.582092e-06,0.009842649,0.0002169735,0.03358155,0.030477,0.02908146,0,
0.004379517,0.02507437,0.03276476,0.07045415,0.071598,0.05767883,-0.0001602241,0.04237406,0.001785534,0.04776337,0.0769626,0.0820227,0.01020211,0.2284196,0.1294197,0.0454586,0.0,0.07909653,0.09470573,0.03462903,0.01844878,3.296628e-06,0.009603485,0.0001996824,0.03345034,0.03053885,0.02916585,0,
0.004336807,0.02491662,0.03253834,0.07015505,0.07136025,0.05749726,-0.0001474555,0.04275386,0.001773518,0.04786373,0.0767272,0.08172793,0.01018422,0.2287507,0.1289441,0.04541884,0.0,0.07931958,0.0949031,0.03473892,0.01842097,3.033913e-06,0.00943725,0.0001837693,0.03323769,0.03059427,0.02924105,0,
0.004296617,0.02476557,0.03233061,0.06981194,0.07114905,0.05744108,-0.0001357045,0.04402441,0.001761775,0.04802261,0.07644445,0.08135423,0.0101532,0.2286874,0.1283452,0.04531427,0.0,0.07921391,0.09458472,0.03480608,0.01832755,2.792134e-06,0.009210261,0.0001691244,0.03212532,0.03052492,0.02922658,0,
0.00426272,0.02467023,0.03219366,0.06956811,0.07103144,0.05727001,-0.00012489,0.04433,0.001752257,0.0482192,0.07629235,0.08108015,0.01017338,0.2285386,0.1279415,0.04523671,0.0,0.07925372,0.09441783,0.03487623,0.01826784,2.569624e-06,0.00898438,0.0001556465,0.03174127,0.0305515,0.02928324,0,
0.004232196,0.02454711,0.0320293,0.06930552,0.07089647,0.05723262,-0.0001149372,0.04491152,0.001742847,0.04834059,0.07620383,0.0808616,0.01017991,0.2286408,0.1278065,0.04513381,0.0,0.07913976,0.09400833,0.03492415,0.01817975,2.364845e-06,0.008739163,0.0001432427,0.0306079,0.03053218,0.02931239,0,
0.004208579,0.02444936,0.03189297,0.06912129,0.07083709,0.05724926,-0.0001057777,0.04486969,0.001736351,0.04846038,0.07606535,0.08054803,0.01017735,0.2282532,0.1273724,0.04499583,0.0,0.07905449,0.09360269,0.03491063,0.01812883,2.176386e-06,0.00839792,0.0001318274,0.03007816,0.03051432,0.02931226,0,
0.004199984,0.02440249,0.03183425,0.06899741,0.07083819,0.05718676,-9.734802e-05,0.04438658,0.001733762,0.04855048,0.07589069,0.0802101,0.01018018,0.2221011,0.1269626,0.04489622,0.0,0.07877579,0.09300445,0.034849,0.01808065,2.002945e-06,0.008155646,0.0001213218,0.0301892,0.0304013,0.02922737,0,
0.004195786,0.02437305,0.03180279,0.0689347,0.07090779,0.05713856,-8.959016e-05,0.04202791,0.00173356,0.04864206,0.07566849,0.07979094,0.01018702,0.2182363,0.1263836,0.04472221,0.0,0.07855753,0.09245078,0.03474357,0.0180726,1.843327e-06,0.007815379,0.0001116535,0.03046508,0.03028506,0.02913875,0,
0.004191928,0.02435611,0.03178726,0.06887661,0.07095182,0.05703117,-8.245054e-05,0.0403979,0.001731469,0.04868452,0.07557501,0.0794864,0.01019292,0.2164885,0.1260952,0.04459316,0.0,0.07844775,0.0919871,0.03464652,0.01806029,1.696428e-06,0.007479613,0.0001027556,0.03073915,0.03019725,0.02907575,0,
